component_name,unit_name,operand_name,current_state,event_type,route_path,http_method,next_state,description
workload,action,register,STARTED,WorkloadRegisterFailed,/workload/register,POST,FAILED,Register Workload for action from STARTED to FAILED
workload,action,register,STARTED,WorkloadRegisterCompleted,/workload/register,POST,COMPLETED,Register Workload for action from STARTED to COMPLETED
workload,action,register,STARTED,WorkloadRegisterTerminated,/workload/register,POST,TERMINATED,Register Workload for action from STARTED to TERMINATED
workload,action,register,STARTED,WorkloadRegisterPaused,/workload/register,POST,PAUSED,Register Workload for action from STARTED to PAUSED
workload,action,register,FAILED,WorkloadRegisterRestarted,/workload/register,POST,RESTARTED,Register Workload for action from FAILED to RESTARTED
workload,action,register,TERMINATED,WorkloadRegisterRestarted,/workload/register,POST,RESTARTED,Register Workload for action from TERMINATED to RESTARTED
workload,action,register,PAUSED,WorkloadRegisterCompleted,/workload/register,POST,COMPLETED,Register Workload for action from PAUSED to COMPLETED
workload,action,register,PAUSED,WorkloadRegisterTerminated,/workload/register,POST,TERMINATED,Register Workload for action from PAUSED to TERMINATED
workload,action,register,PAUSED,WorkloadRegisterContinued,/workload/register,POST,CONTINUED,Register Workload for action from PAUSED to CONTINUED
workload,action,register,CONTINUED,WorkloadRegisterFailed,/workload/register,POST,FAILED,Register Workload for action from CONTINUED to FAILED
workload,action,register,CONTINUED,WorkloadRegisterCompleted,/workload/register,POST,COMPLETED,Register Workload for action from CONTINUED to COMPLETED
workload,action,register,CONTINUED,WorkloadRegisterTerminated,/workload/register,POST,TERMINATED,Register Workload for action from CONTINUED to TERMINATED
workload,action,register,CONTINUED,WorkloadRegisterPaused,/workload/register,POST,PAUSED,Register Workload for action from CONTINUED to PAUSED
workload,action,register,RESTARTED,WorkloadRegisterFailed,/workload/register,POST,FAILED,Register Workload for action from RESTARTED to FAILED
workload,action,register,RESTARTED,WorkloadRegisterCompleted,/workload/register,POST,COMPLETED,Register Workload for action from RESTARTED to COMPLETED
workload,action,register,RESTARTED,WorkloadRegisterTerminated,/workload/register,POST,TERMINATED,Register Workload for action from RESTARTED to TERMINATED
workload,action,register,RESTARTED,WorkloadRegisterPaused,/workload/register,POST,PAUSED,Register Workload for action from RESTARTED to PAUSED
workload,action,register,RESTARTED,WorkloadRegisterContinued,/workload/register,POST,CONTINUED,Register Workload for action from RESTARTED to CONTINUED
workload,cursor,register,REQUESTED,WorkloadRegisterRegistered,/workload/register,POST,REGISTERED,Register Workload for cursor from REQUESTED to REGISTERED
workload,cursor,register,REQUESTED,WorkloadRegisterCanceled,/workload/register,POST,CANCELED,Register Workload for cursor from REQUESTED to CANCELED
workload,cursor,register,REGISTERED,WorkloadRegisterStarted,/workload/register,POST,STARTED,Register Workload for cursor from REGISTERED to STARTED
